scenario,window,percentile,raw_nc_value_1995_2014_baseline,fitted_offset,final_value_1961_1990_baseline,source
SSP1-2.6,2011-2030,5th,0.2641,+0.4983,0.8,derived (this script)
SSP1-2.6,2011-2030,median,0.4041,+0.5564,1.0,derived (this script)
SSP1-2.6,2011-2030,95th,0.5643,+0.5918,1.2,derived (this script)
SSP1-2.6,2021-2040,5th,0.4098,+0.4983,0.9,"ARR Table 1.6.2 (published, untouched)"
SSP1-2.6,2021-2040,median,0.6305,+0.5564,1.2,"ARR Table 1.6.2 (published, untouched)"
SSP1-2.6,2021-2040,95th,0.8875,+0.5918,1.5,"ARR Table 1.6.2 (published, untouched)"
SSP1-2.6,2031-2050,5th,0.4967,+0.4983,1.0,derived (this script)
SSP1-2.6,2031-2050,median,0.7852,+0.5564,1.3,derived (this script)
SSP1-2.6,2031-2050,95th,1.1336,+0.5918,1.7,derived (this script)
SSP1-2.6,2041-2060,5th,0.5376,+0.4983,1.0,"ARR Table 1.6.2 (published, untouched)"
SSP1-2.6,2041-2060,median,0.8827,+0.5564,1.4,"ARR Table 1.6.2 (published, untouched)"
SSP1-2.6,2041-2060,95th,1.3191,+0.5918,1.9,"ARR Table 1.6.2 (published, untouched)"
SSP1-2.6,2051-2070,5th,0.5554,+0.4983,1.1,derived (this script)
SSP1-2.6,2051-2070,median,0.9359,+0.5564,1.5,derived (this script)
SSP1-2.6,2051-2070,95th,1.4138,+0.5918,2.0,derived (this script)
SSP1-2.6,2061-2080,5th,0.5591,+0.4983,1.1,derived (this script)
SSP1-2.6,2061-2080,median,0.9502,+0.5564,1.5,derived (this script)
SSP1-2.6,2061-2080,95th,1.4573,+0.5918,2.0,derived (this script)
SSP1-2.6,2071-2090,5th,0.5436,+0.4983,1.0,derived (this script)
SSP1-2.6,2071-2090,median,0.9368,+0.5564,1.5,derived (this script)
SSP1-2.6,2071-2090,95th,1.4772,+0.5918,2.1,derived (this script)
SSP1-2.6,2081-2100,5th,0.5070,+0.4983,1.0,"ARR Table 1.6.2 (published, untouched)"
SSP1-2.6,2081-2100,median,0.9043,+0.5564,1.5,"ARR Table 1.6.2 (published, untouched)"
SSP1-2.6,2081-2100,95th,1.4826,+0.5918,2.1,"ARR Table 1.6.2 (published, untouched)"
SSP2-4.5,2011-2030,5th,0.2699,+0.4983,0.8,derived (this script)
SSP2-4.5,2011-2030,median,0.4058,+0.5564,1.0,derived (this script)
SSP2-4.5,2011-2030,95th,0.5628,+0.5918,1.2,derived (this script)
SSP2-4.5,2021-2040,5th,0.4425,+0.4983,0.9,"ARR Table 1.6.2 (published, untouched)"
