Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532)

All Design Rainfall Depth (mm)
Issued:,2025-05-22 00:00:00
Location Label:
Requested coordinate:,Latitude,-42.3,Longitude,147
Nearest grid cell:,Latitude,42.2875 (S),Longitude,147.0125 (E)

,,Exceedances per Year (EY),Annual Exceedance Probability (AEP)
Duration,Duration in min,12EY,6EY,4EY,3EY,2EY,0.632,0.5,0.5EY,0.2,0.2EY,0.1,0.05,0.02,0.01,1 in 200,1 in 500,1 in 1000,1 in 2000
1 min,1,0.424,0.478,0.58,0.659,0.782,1.03,1.17,1.3,1.64,1.67,1.99,2.37,2.9,3.35,3.82,4.43,4.93,5.47
2 min,2,0.723,0.823,1.01,1.16,1.38,1.82,2.06,2.28,2.8,2.85,3.31,3.82,4.45,4.93,5.57,6.45,7.19,7.96
3 min,3,0.957,1.08,1.33,1.52,1.81,2.4,2.71,3.01,3.71,3.79,4.42,5.13,6.05,6.76,7.65,8.87,9.88,10.9
4 min,4,1.16,1.3,1.59,1.81,2.16,2.86,3.24,3.59,4.47,4.56,5.36,6.27,7.5,8.48,9.62,11.2,12.4,13.8
5 min,5,1.33,1.5,1.81,2.06,2.45,3.25,3.68,4.09,5.13,5.23,6.18,7.27,8.79,10,11.4,13.2,14.7,16.3
10 min,10,2.02,2.24,2.68,3.02,3.56,4.66,5.3,5.88,7.5,7.65,9.16,10.9,13.5,15.7,18,20.9,23.2,25.8
15 min,15,2.54,2.81,3.33,3.73,4.37,5.67,6.45,7.16,9.14,9.32,11.2,13.4,16.6,19.4,22.1,25.7,28.6,31.7
20 min,20,2.98,3.28,3.87,4.33,5.05,6.49,7.38,8.19,10.4,10.6,12.8,15.2,18.9,21.9,25.1,29.1,32.4,35.9
25 min,25,3.35,3.7,4.34,4.85,5.64,7.2,8.18,9.08,11.5,11.8,14.1,16.7,20.6,23.9,27.3,31.7,35.2,39.1
30 min,30,3.69,4.06,4.77,5.32,6.16,7.83,8.9,9.87,12.5,12.7,15.2,18,22.1,25.5,29.1,33.7,37.6,41.7
45 min,45,4.53,4.99,5.86,6.52,7.51,9.44,10.7,11.9,14.9,15.2,17.9,21.1,25.5,29.1,33.1,38.5,42.8,47.5
1 hour,60,5.2,5.75,6.75,7.51,8.64,10.8,12.2,13.5,16.8,17.2,20.2,23.5,28.2,31.8,36.2,42,46.8,51.9
1.5 hour,90,6.28,6.97,8.2,9.12,10.5,13,14.7,16.3,20,20.4,23.8,27.5,32.4,36.2,41.2,47.8,53.2,59
2 hour,120,7.13,7.94,9.38,10.4,12,14.8,16.7,18.5,22.7,23.1,26.7,30.7,36,39.9,45.4,52.7,58.7,65
3 hour,180,8.45,9.46,11.2,12.5,14.4,17.8,20.1,22.3,27,27.6,31.7,36.2,42,46.4,52.9,61.3,68.3,75.7
4.5 hour,270,9.91,11.2,13.4,14.9,17.2,21.3,24,26.7,32.3,32.9,37.7,42.9,49.7,54.8,62.6,72.5,80.8,89.5
6 hour,360,11,12.5,15,16.8,19.5,24.2,27.2,30.2,36.6,37.3,42.7,48.6,56.4,62.3,71.2,82.5,91.9,102
9 hour,540,12.7,14.4,17.5,19.7,22.9,28.6,32.2,35.8,43.5,44.3,50.9,58,67.7,75.1,85.9,99.6,111,123
12 hour,720,14,15.9,19.3,21.8,25.5,32,36.2,40.1,48.9,49.9,57.4,65.6,77,85.9,98.3,114,127,141
18 hour,1080,15.8,18.1,22.1,25,29.3,37.2,42,46.7,57.3,58.4,67.6,77.6,91.9,103,118,137,152,169
24 hour,1440,17.2,19.7,24.1,27.4,32.2,41,46.4,51.5,63.5,64.7,75.1,86.6,103,116,133,154,171,190
30 hour,1800,18.3,20.9,25.7,29.2,34.4,43.9,49.8,55.3,68.3,69.7,81,93.6,112,126,147,172,191,212
36 hour,2160,19.2,22,27,30.7,36.2,46.3,52.5,58.3,72.2,73.7,85.8,99.2,119,135,156,183,204,227
48 hour,2880,20.6,23.6,29.1,33.1,39.1,50.1,56.8,63,78.1,79.7,92.9,108,129,146,168,196,218,243
72 hour,4320,22.5,25.9,31.9,36.4,43,55.1,62.3,69.2,85.5,87.2,102,118,140,159,178,206,229,254
96 hour,5760,23.7,27.4,33.9,38.6,45.6,58.3,65.9,73.1,89.8,91.6,106,123,146,165,182,209,232,257
120 hour,7200,24.6,28.4,35.3,40.3,47.6,60.7,68.3,75.8,92.6,94.4,109,126,149,167,185,212,235,259
144 hour,8640,25.2,29.2,36.4,41.6,49.1,62.5,70.2,77.9,94.4,96.3,111,128,151,169,188,215,238,263
168 hour,10080,25.6,29.9,37.3,42.7,50.4,64,71.6,79.5,95.7,97.6,112,129,152,170,191,219,242,268
